0000                                    	1-GENERAL                               	PRUEBA                                  	                                        	                                        	           0,01	           0,00
194948181980                            	29-PANTALON CABALLERO                   	PANTALON GRIS CHARCOAL 38X30 T/38 X 30  	                                        	                                        	          94,83	          30,17	DK00WB555
194948182062                            	29-PANTALON CABALLERO                   	PANTALON AZUL MARINO  DKNY /33*29       	                                        	                                        	          94,83	          30,17	DK00WB555
194948182079                            	29-PANTALON CABALLERO                   	PANTALON AZUL MARINO  DKNY /34*29       	                                        	                                        	          94,83	          30,17	DK00WB555
194948182086                            	29-PANTALON CABALLERO                   	PANTALON AZUL MARINO  DKNY /36*29       	                                        	                                        	          94,83	          30,17	DK00WB555
194948182109                            	29-PANTALON CABALLERO                   	PANTALON AZUL MARINO  DKNY /T 30*30     	                                        	                                        	          94,83	          30,17	DK00WB555
194948182116                            	29-PANTALON CABALLERO                   	PANTALON AZUL MARINO  DKNY / T 33*30    	                                        	                                        	          94,83	          30,17	DK00WB555
194948188873                            	29-PANTALON CABALLERO                   	PANTALON GRIS CHARCOAL 33X29 T/33 X 29  	                                        	                                        	          94,83	          30,17	DK00WB555
194948188880                            	29-PANTALON CABALLERO                   	PANTALON GRIS CHARCOAL 34X29 T/34 X 29  	                                        	                                        	          94,83	          30,17	DK00WB555
194948188897                            	29-PANTALON CABALLERO                   	PANTALON GRIS CHARCOAL 36X29 T/36 X 29  	                                        	                                        	          94,83	          30,17	DK00WB555
194948188910                            	29-PANTALON CABALLERO                   	PANTALON GRIS CHARCOAL 30X30 T/30 X 30  	                                        	                                        	          94,83	          30,17	DK00WB555
194948188927                            	29-PANTALON CABALLERO                   	PANTALON GRIS CHARCOAL 33X30 T/33 X 30  	                                        	                                        	          94,83	          30,17	DK00WB555
194948203552                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT BLUE BLACK T/36X29	                                        	                                        	          94,83	          30,17	DK00DB100
194948203583                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT BLUE BLACK T/32X30	                                        	                                        	          94,83	          30,17	DK00DB100
194948203590                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT BLUE BLACK T/33X30	                                        	                                        	          94,83	          30,17	DK00DB100
194948203606                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT BLUE BLACK T/34X30	                                        	                                        	          94,83	          30,17	DK00DB100
194948203620                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT BLUE BLACK T/38X30	                                        	                                        	          94,83	          30,17	DK00DB100
194948203637                            	29-PANTALON CABALLERO                   	BLUE BLACK 30X32 T/30 X 32              	                                        	                                        	          94,83	          30,17	DK00DB100
194948203644                            	29-PANTALON CABALLERO                   	BLUE BLACK 32X32 T/32 X 32              	                                        	                                        	          94,83	          30,17	DK00DB100
194948203651                            	29-PANTALON CABALLERO                   	BLUE BLACK 33X32 T/33 X 32              	                                        	                                        	          94,83	          30,17	DK00DB100
194948203668                            	29-PANTALON CABALLERO                   	BLUE BLACK 34X32 T/34 X 32              	                                        	                                        	          94,83	          30,17	DK00DB100
194948203675                            	29-PANTALON CABALLERO                   	BLUE BLACK 36X32 T/36 X 32              	                                        	                                        	          94,83	          30,17	DK00DB100
194948203682                            	29-PANTALON CABALLERO                   	BLUE BLACK 38X32 T/38 X 32              	                                        	                                        	          94,83	          30,17	DK00DB100
194948203729                            	29-PANTALON CABALLERO                   	JEAN AZUL OSCU SKINNY FIT MERCER T/32X29	                                        	                                        	          94,83	          30,17	DK00DB100
194948203736                            	29-PANTALON CABALLERO                   	JEAN AZUL OSCU SKINNY FIT MERCER T/34X29	                                        	                                        	          94,83	          30,17	DK00DB100
194948203743                            	29-PANTALON CABALLERO                   	JEAN AZUL OSCU SKINNY FIT MERCER T/36X32	                                        	                                        	          94,83	          30,17	DK00DB100
194948203767                            	29-PANTALON CABALLERO                   	JEAN AZUL OSCU SKINNY FIT MERCER T/30X30	                                        	                                        	          94,83	          30,17	DK00DB100
194948203774                            	29-PANTALON CABALLERO                   	JEAN AZUL OSCU SKINNY FIT MERCER T/32X30	                                        	                                        	          94,83	          30,17	DK00DB100
194948203781                            	29-PANTALON CABALLERO                   	JEAN AZUL OSCU SKINNY FIT MERCER T/33X30	                                        	                                        	          94,83	          30,17	DK00DB100
194948203798                            	29-PANTALON CABALLERO                   	JEAN AZUL OSCU SKINNY FIT MERCER T/34X30	                                        	                                        	          94,83	          30,17	DK00DB100
194948203804                            	29-PANTALON CABALLERO                   	JEAN AZUL OSCU SKINNY FIT MERCER T/36X30	                                        	                                        	          94,83	          30,17	DK00DB100
194948203811                            	29-PANTALON CABALLERO                   	JEAN AZUL OSCU SKINNY FIT MERCER T/38X30	                                        	                                        	          94,83	          30,17	DK00DB100
194948203828                            	29-PANTALON CABALLERO                   	JEANS AZUL MAN 30/32                    	                                        	                                        	         103,45	          34,48	DK00DB100
194948203835                            	29-PANTALON CABALLERO                   	JEAN AZUL OSCU SKINNY FIT MERCER T/32X32	                                        	                                        	          94,83	          30,17	DK00DB100
194948203842                            	29-PANTALON CABALLERO                   	JEANS AZUL MAN 33/32                    	                                        	                                        	          94,83	          34,48	DK00DB100
194948203859                            	29-PANTALON CABALLERO                   	JEAN AZUL OSCU SKINNY FIT MERCER T/34X32	                                        	                                        	          94,83	          30,17	DK00DB100
194948203866                            	29-PANTALON CABALLERO                   	JEAN AZUL OSCU SKINNY FIT MERCER T/36X32	                                        	                                        	          94,83	          30,17	DK00DB100
194948203873                            	29-PANTALON CABALLERO                   	JEANS AZUL MAN 38/32                    	                                        	                                        	          94,83	          34,48	DK00DB100
194948203927                            	29-PANTALON CABALLERO                   	JEAN NEGRO CLARO BEDFORD SLIM FIT T/33X2	                                        	                                        	          94,83	          30,17	DK00DB100
194948203934                            	29-PANTALON CABALLERO                   	JEAN NEGRO CLARO BEDFORD SLIM FIT T/34X2	                                        	                                        	          94,83	          30,17	DK00DB100
194948203941                            	29-PANTALON CABALLERO                   	JEAN NEGRO CLARO BEDFORD SLIM FIT T/36X2	                                        	                                        	          94,83	          30,17	DK00DB100
194948203965                            	29-PANTALON CABALLERO                   	JEAN NEGRO CLARO BEDFORD SLIM FIT T/30X3	                                        	                                        	          94,83	          30,17	DK00DB100
194948203972                            	29-PANTALON CABALLERO                   	JEAN NEGRO CLARO BEDFORD SLIM FIT T/32X3	                                        	                                        	          94,83	          30,17	DK00DB100
194948203989                            	29-PANTALON CABALLERO                   	JEAN NEGRO CLARO BEDFORD SLIM FIT T/33X3	                                        	                                        	          94,83	          30,17	DK00DB100
194948203996                            	29-PANTALON CABALLERO                   	JEAN NEGRO CLARO BEDFORD SLIM FIT T/34X3	                                        	                                        	          94,83	          30,17	DK00DB100
194948204009                            	29-PANTALON CABALLERO                   	JEAN NEGRO CLARO BEDFORD SLIM FIT T/36X3	                                        	                                        	          94,83	          30,17	DK00DB100
194948204016                            	29-PANTALON CABALLERO                   	JEAN NEGRO CLARO BEDFORD SLIM FIT T/38X3	                                        	                                        	          94,83	          30,17	DK00DB100
194948204030                            	29-PANTALON CABALLERO                   	JEAN NEGRO CLARO BEDFORD SLIM FIT T/32X3	                                        	                                        	          94,83	          30,17	DK00DB100
194948204054                            	29-PANTALON CABALLERO                   	JEAN NEGRO CLARO BEDFORD SLIM FIT T/34X3	                                        	                                        	          94,83	          30,17	DK00DB100
194948204061                            	29-PANTALON CABALLERO                   	JEAN NEGRO CLARO BEDFORD SLIM FIT T/36X3	                                        	                                        	          94,83	          30,17	DK00DB100
194948204115                            	29-PANTALON CABALLERO                   	JEANS DKNY BEDFORD SLIM FIT /33*29      	                                        	                                        	          94,83	          30,17	DK00DB100
194948204122                            	29-PANTALON CABALLERO                   	JEANS DKNY BEDFORD SLIM FIT/34*29       	                                        	                                        	          94,83	          30,17	DK00DB100
194948204139                            	29-PANTALON CABALLERO                   	JEANS DKNY BEDFORD SLIM FIT/36*29       	                                        	                                        	          94,83	          30,17	DK00DB100
194948204153                            	29-PANTALON CABALLERO                   	JEANS DKNY BEDFORD SLIM FIT /30*30      	                                        	                                        	          94,83	          30,17	DK00DB100
194948204160                            	29-PANTALON CABALLERO                   	JEANS DKNY BEDFORD SLIM FIT /32*30      	                                        	                                        	          94,83	          30,17	DK00DB100
194948204177                            	29-PANTALON CABALLERO                   	JEANS DKNY BEDFORD SLIM FIT/33*30       	                                        	                                        	          94,83	          30,17	DK00DB100
194948204184                            	29-PANTALON CABALLERO                   	JEANS DKNY BEDFORD SLIM FIT/34*30       	                                        	                                        	          94,83	          30,17	DK00DB100
194948204191                            	29-PANTALON CABALLERO                   	JEANS DKNY BEDFORD SLIM FIT/ 36*30      	                                        	                                        	          94,83	          30,17	DK00DB100
194948204207                            	29-PANTALON CABALLERO                   	JEANS DKNY BEDFORD SLIM FIT / 38*30     	                                        	                                        	          94,83	          30,17	DK00DB100
194948204221                            	29-PANTALON CABALLERO                   	JEANS DKNY BEDFORD SLIM FIT/32*32       	                                        	                                        	          94,83	          30,17	DK00DB100
194948204245                            	29-PANTALON CABALLERO                   	JEANS DKNY BEDFORD SLIM FIT /34*32      	                                        	                                        	          94,83	          30,17	DK00DB100
194948204252                            	29-PANTALON CABALLERO                   	JEANS DKNY BEDFORD SLIM FIT /36*32      	                                        	                                        	          94,83	          30,17	DK00DB100
194948204306                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB100
194948204313                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB100
194948204320                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB100
194948204344                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB100
194948204351                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB100
194948204368                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB100
194948204375                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB100
194948204382                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB100
194948204399                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB100
194948204405                            	29-PANTALON CABALLERO                   	JEANS DKNY BEDFORD  SLIM FIT AZUL OSCURO	                                        	                                        	          94,83	          30,17	DK00DB100
194948204412                            	29-PANTALON CABALLERO                   	JEANS DKNY BEDFORD  SLIM FIT AZUL OSCURO	                                        	                                        	          94,83	          30,17	DK00DB100
194948204429                            	29-PANTALON CABALLERO                   	JEANS DKNY BEDFORD  SLIM FIT AZUL OSCURO	                                        	                                        	          94,83	          30,17	DK00DB100
194948204436                            	29-PANTALON CABALLERO                   	JEANS DKNY BEDFORD  SLIM FIT AZUL OSCURO	                                        	                                        	          94,83	          30,17	DK00DB100
194948204443                            	29-PANTALON CABALLERO                   	JEANS DKNY BEDFORD  SLIM FIT AZUL OSCURO	                                        	                                        	          94,83	          30,17	DK00DB100
194948204450                            	29-PANTALON CABALLERO                   	JEANS DKNY BEDFORD  SLIM FIT AZUL OSCURO	                                        	                                        	          94,83	          30,17	DK00DB100
194948204528                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT ENGINE WASH T/36X2	                                        	                                        	          94,83	          30,17	DK00DB100
194948204566                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT GERSHWIN WASH33x32	                                        	                                        	          94,83	          30,17	DK00DB100
194948204573                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT ENGINE WASH T/34X3	                                        	                                        	          94,83	          30,17	DK00DB100
194948204580                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT ENGINE WASH 36x30 	                                        	                                        	          94,83	          30,17	DK00DB100
194948204597                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT ENGINE WASH 38x30 	                                        	                                        	          94,83	          30,17	DK00DB100
194948204719                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT GRIS T/36 X 30    	                                        	                                        	          94,83	          30,17	DK00DB100
194948204733                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT GRIS T/30 X 30    	                                        	                                        	          94,83	          30,17	DK00DB100
194948204757                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT GRIS T/33 X 30    	                                        	                                        	          94,83	          30,17	DK00DB100
194948204764                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT GRIS T/34 X 30    	                                        	                                        	          94,83	          30,17	DK00DB100
194948204801                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT GRIS T/32 X 30    	                                        	                                        	          94,83	          30,17	DK00DB100
194948204924                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT GERSHWIN WASH T/30	                                        	                                        	          94,83	          30,17	DK00DB100
194948204993                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT GERSHWIN WASH T/32	                                        	                                        	          94,83	          30,17	DK00DB100
194948205082                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT NEGRO VINTAGE T/34	                                        	                                        	          94,83	          30,17	DK00DB100
194948205099                            	29-PANTALON CABALLERO                   	JEAN BEDFORD SLIM FIT NEGRO VINTAGE T/36	                                        	                                        	          94,83	          30,17	DK00DB100
194948206348                            	29-PANTALON CABALLERO                   	JEANS CABALLERO /33-29                  	                                        	                                        	          94,83	          30,17	DK00DB300
194948206355                            	29-PANTALON CABALLERO                   	JEANS CABALLERO /34-29                  	                                        	                                        	          94,83	          30,17	DK00DB300
